id,project_id,execution_id,symbol,side,entry_price,current_price,size,stop_loss,take_profits,unrealized_pnl,unrealized_pnl_pct,status,closed_at,close_price,realized_pnl,close_reason,created_at,updated_at
c237af3c-2a1b-44d1-a655-46ae70e020fc,288bc95a-b4da-46e7-bdfa-b5630233f586,a1597579-0347-448e-a4a9-9fa94974d465,SOLUSDT,SHORT,67.61,70.17,0.592,68.5,"[65.83, 64.94, 64.05]",,,CLOSED,2026-06-15 02:15:37.294254+00,70.17,-0.5546,UNKNOWN_EXCHANGE_FLAT,2026-06-14 13:30:55.982837+00,2026-06-15 02:15:36.784228+00
3180e0f7-b30e-48ff-9dfd-f794a5e9709b,288bc95a-b4da-46e7-bdfa-b5630233f586,51ba1a0a-1a57-4a48-85d7-81c307b371af,ETHUSDT,SHORT,1662.44,1718.74,0.024,1680,"[1627.32, 1609.76, 1592.2]",,,CLOSED,2026-06-15 02:15:38.183904+00,1718.74,-0.10752,UNKNOWN_EXCHANGE_FLAT,2026-06-14 16:00:39.902719+00,2026-06-15 02:15:36.784228+00
30e3f8e2-9612-4d5c-ad2d-fc3e7b35f63c,288bc95a-b4da-46e7-bdfa-b5630233f586,4182a03d-2a97-4500-85bf-8be149ba2455,BTCUSDT,LONG,65500,65317.7,0.001,64155.88472141,"[68188.2306, 69532.3458, 70876.4611]",,,CLOSED,2026-06-15 02:30:46.612178+00,65317.7,-0.1823,UNKNOWN_EXCHANGE_FLAT,2026-06-15 02:23:40.832922+00,2026-06-15 02:30:46.168779+00
a0996b3e-cdac-4836-bfc4-ececaf5ad24e,288bc95a-b4da-46e7-bdfa-b5630233f586,32530246-a376-406d-a543-4d3b8d451d82,SOLUSDT,LONG,74.03877593,73.41,0.08,72.93,"[76.26, 77.37, 78.48]",,,CLOSED,2026-06-15 13:45:45.516826+00,73.41,-0.05030207,unprotected_demo_cleanup,2026-06-15 13:34:31.167183+00,2026-06-15 13:46:28.399057+00
5f7b7a85-7c5e-46d3-a045-99b951febe11,288bc95a-b4da-46e7-bdfa-b5630233f586,5a06e101-0bf7-4263-b02b-033a45882b76,SOLUSDT,LONG,73.64,71.33,0.11,72,[77.0],,,CLOSED,2026-06-18 04:07:22.636404+00,71.33,-0.165,UNKNOWN_EXCHANGE_FLAT,2026-06-15 14:26:32.667622+00,2026-06-18 04:07:22.142781+00
834d0425-1ace-47bd-bb2c-0f2cc6e2937d,288bc95a-b4da-46e7-bdfa-b5630233f586,e985e0fb-aa89-4e84-a8fe-7ff662945c36,BTCUSDT,SHORT,62493,63084,0.001,63088,"[61095.7, 60431.6, 59767.5]",,,CLOSED,2026-06-19 16:10:18.358807+00,63084,-0.5019,SL,2026-06-19 10:53:12.398065+00,2026-06-19 16:10:17.908074+00
02e5bf12-5148-4054-aec6-4876b59db9fc,288bc95a-b4da-46e7-bdfa-b5630233f586,4bffbe7a-d87f-4868-b701-672fe5167164,BTCUSDT,SHORT,63015,63045.70512681,0.0008,63258.6,"[61966.4, 62281.5, 62565.2]",,,CLOSED,2026-06-19 19:02:00.3184+00,63045.70512681,-0.11128,UNKNOWN_EXCHANGE_FLAT,2026-06-19 18:54:22.561201+00,2026-06-19 19:01:58.917141+00
f778464c-25cb-4851-b44b-5700a9cda399,288bc95a-b4da-46e7-bdfa-b5630233f586,a28ae772-b6f3-40c6-97d7-fa70d8f5c476,BTCUSDT,SHORT,63206.9,63779.1,0.001,63757.2,"[62748.6, 62412.4, 62076.2]",,,CLOSED,2026-06-20 05:10:46.852532+00,63779.1,-0.2403,SL,2026-06-20 03:54:05.646805+00,2026-06-20 05:10:46.395552+00
